algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2.0,,,,,0.224466292849593,1.6542540350206294,32162.307906576887
KMeans,OutlierRemoval,3.0,,,,,0.1506932299199018,2.159242522471049,21855.34649503001
KMeans,OutlierRemoval,4.0,,,,,0.1399030592526122,1.993560223376704,17691.85354406902
KMeans,OutlierRemoval,5.0,,,,,0.1182243391848118,2.14754588856237,15574.009291745091
KMeans,OutlierRemoval,6.0,,,,,0.1177030171049131,2.008474840321895,14098.031367365886
KMeans,OutlierRemoval,7.0,,,,,0.1156981910514177,1.9696402635143624,12915.184144723144
KMeans,OutlierRemoval,8.0,,,,,0.1124269478384884,1.8697962666015877,12069.603109621585
GMM,OutlierRemoval,2.0,,,,,0.213275094820054,1.7087163864495134,29992.73388207308
GMM,OutlierRemoval,3.0,,,,,0.1455130448267848,2.140578641909248,20653.865874306488
GMM,OutlierRemoval,4.0,,,,,0.1108069683573154,2.421888199557312,16079.211052063314
GMM,OutlierRemoval,5.0,,,,,0.1007627767219292,2.392782499042754,14094.65357623896
GMM,OutlierRemoval,6.0,,,,,0.0472224902888465,9.162419993435044,8615.97039385978
GMM,OutlierRemoval,7.0,,,,,0.0308396034605505,10.175555995279,7234.127151043063
GMM,OutlierRemoval,8.0,,,,,0.0181567937169445,6.464533819129061,6548.040561448804
Agglomerative,OutlierRemoval,2.0,,,,,0.1808566579764894,1.8040193072600803,1195.6885500809562
Agglomerative,OutlierRemoval,3.0,,,,,0.1011403022099221,2.0751518093073167,811.1447343461089
Agglomerative,OutlierRemoval,4.0,,,,,0.0749918036478824,2.560748069733024,665.0134583123121
Agglomerative,OutlierRemoval,5.0,,,,,0.0777718812479073,2.390393822569774,586.462323719154
Agglomerative,OutlierRemoval,6.0,,,,,0.0588050140569193,2.450110155543824,533.8284061686163
Agglomerative,OutlierRemoval,7.0,,,,,0.0563359509209641,2.4001209415929634,491.6795072367168
Agglomerative,OutlierRemoval,8.0,,,,,0.0526173422799875,2.359010232416635,457.589628869922
Spectral,OutlierRemoval,2.0,,,,,0.2180115174704664,1.6675287839575352,1592.4291979179368
Spectral,OutlierRemoval,3.0,,,,,0.1465580585223143,2.1078674450968933,1085.25740745555
Spectral,OutlierRemoval,4.0,,,,,0.1184962949455342,2.136889101170479,850.8703492078721
Spectral,OutlierRemoval,5.0,,,,,0.1060033296078973,2.037512836811469,716.9310167413732
Spectral,OutlierRemoval,6.0,,,,,0.1020314964334477,1.98700846574641,650.1700441337425
Spectral,OutlierRemoval,7.0,,,,,0.0990778016181514,1.9382151192050516,585.2200470567243
Spectral,OutlierRemoval,8.0,,,,,0.1001880669392725,1.90118296192974,566.6960189225287
DBSCAN,OutlierRemoval,,0.5,,,,-0.2624092503428362,1.1379155775314564,15.261724925543463
DBSCAN,OutlierRemoval,,1.0,,,,-0.0007480539272315,0.7893326693937974,8.385583495724132
BIRCH,OutliersRemoval,,,,1.5,175.0,0.0858552754317502,1.679251820149518,1849.978785804503
OPTICS,OutliersRemoval,,,3.0,,8299.0,-0.3462386639912592,1.2066139884818408,6.523641573647453
OPTICS,OutliersRemoval,,,5.0,,1871.0,-0.5674705143717219,1.2125270063669893,8.004475894455702
OPTICS,OutliersRemoval,,,10.0,,67.0,-0.537595767344801,1.29343525320145,12.21146835591665
KMeans,PCA+Outliers,2.0,,,,,0.2344150163968303,1.599574722839288,34125.678075647804
KMeans,PCA+Outliers,3.0,,,,,0.1588771718721494,2.077133243860112,23309.916321877783
KMeans,PCA+Outliers,4.0,,,,,0.147701315357788,1.9168735061737412,18962.663095950746
KMeans,PCA+Outliers,5.0,,,,,0.1263853631554623,2.055091621159323,16766.712767143406
KMeans,PCA+Outliers,6.0,,,,,0.1263765127146969,1.9151181133198625,15242.533527407908
KMeans,PCA+Outliers,7.0,,,,,0.1221713240531154,1.853831741193736,14001.561938528655
KMeans,PCA+Outliers,8.0,,,,,0.121942161048505,1.7932237647437992,13162.799800364926
GMM,PCA+Outliers,2.0,,,,,0.2310105262274799,1.6145325907243662,33289.08607917093
GMM,PCA+Outliers,3.0,,,,,0.159128967555495,2.043065390021237,22732.51328756709
GMM,PCA+Outliers,4.0,,,,,0.1222819688797148,2.2988886454728474,18042.376239403948
GMM,PCA+Outliers,5.0,,,,,0.1151877247721222,2.247443241539925,15794.21939297967
GMM,PCA+Outliers,6.0,,,,,0.0592775470031415,3.233689681600576,11483.77433754177
GMM,PCA+Outliers,7.0,,,,,0.0518196335703847,3.144311456433904,9560.581532089693
GMM,PCA+Outliers,8.0,,,,,0.0365904537256216,3.322529478959842,8184.584145467452
Agglomerative,PCA+Outliers,2.0,,,,,0.1880861409993403,1.8392108554251143,1350.9581009881394
Agglomerative,PCA+Outliers,3.0,,,,,0.1191532749842413,2.257892745006565,873.4533230993892
Agglomerative,PCA+Outliers,4.0,,,,,0.0791810930868564,2.478242023665808,714.8866726206816
Agglomerative,PCA+Outliers,5.0,,,,,0.0713206839223701,2.438985553984098,620.8144174900696
Agglomerative,PCA+Outliers,6.0,,,,,0.0567313663710584,2.399378658105587,555.6350346223787
Agglomerative,PCA+Outliers,7.0,,,,,0.0553090105988458,2.385360196899616,514.9659033527062
Agglomerative,PCA+Outliers,8.0,,,,,0.0543778415618251,2.3125713844743583,478.1527321339697
Spectral,PCA+Outliers,2.0,,,,,0.2285611412157957,1.6082451855999806,1688.4206920236936
Spectral,PCA+Outliers,3.0,,,,,0.1561543024402548,2.0268028979427526,1158.9754956268011
Spectral,PCA+Outliers,4.0,,,,,0.1274450786490393,2.010191483352378,908.3788870889208
Spectral,PCA+Outliers,5.0,,,,,0.120095351819367,1.945540646980256,772.0817731547912
Spectral,PCA+Outliers,6.0,,,,,0.1161521496620719,1.892565232680936,728.4649363564308
Spectral,PCA+Outliers,7.0,,,,,0.1122577159166828,1.8465647472251605,653.5497983144985
Spectral,PCA+Outliers,8.0,,,,,0.1103586297998638,1.788312127148687,618.2935557217337
DBSCAN,PCA+Outliers,,0.5,,,,-0.5466402031798452,0.951957449472171,10.632168147780076
DBSCAN,PCA+Outliers,,1.0,,,,0.2927430553075376,0.6651790933964571,15.03659134879126
BIRCH,PCA+Outliers,,,,1.5,100.0,0.0985871031595756,1.5919340357009455,3130.4346473226587
OPTICS,PCA+Outliers,,,3.0,,7802.0,-0.3963429113660119,1.221225610287302,6.029815843427406
OPTICS,PCA+Outliers,,,5.0,,1524.0,-0.6201497700205201,1.2344200181235605,7.379448286337902
OPTICS,PCA+Outliers,,,10.0,,41.0,-0.5247330650796745,1.263773859305792,13.018668493876632
KMeans,PCA,2.0,,,,,0.2348828212257911,1.5971226068277928,34438.46013753258
KMeans,PCA,3.0,,,,,0.159301722724237,2.074082110548048,23529.18219564569
KMeans,PCA,4.0,,,,,0.1482952170977995,1.913963050010897,19122.88343445956
KMeans,PCA,5.0,,,,,0.1263963502462583,2.0580575017451754,16888.19762522011
KMeans,PCA,6.0,,,,,0.1258393650755062,1.9218222949504524,15336.347638786316
KMeans,PCA,7.0,,,,,0.1215214814880251,1.860221202479664,14097.277695995836
KMeans,PCA,8.0,,,,,0.1211768136327022,1.7949379205441964,13222.180254346296
GMM,PCA,2.0,,,,,0.231477924577834,1.611934289807844,33590.77395230923
GMM,PCA,3.0,,,,,0.1594707351888756,2.038513946964593,22944.63360749197
GMM,PCA,4.0,,,,,0.1233081721842091,2.292142658651746,18190.73294103228
